properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
36536,27811,1,Person removed from vehicle by physical contact,NULL,NULL
36537,27706,1,Curbside detention,NULL,NULL
36538,27767,1,None,NULL,NULL
36539,27672,1,None,NULL,NULL
36540,27629,1,None,NULL,NULL
36541,27601,1,Patrol car detention,NULL,NULL
36542,27812,1,None,NULL,NULL
36543,27706,1,Search of person was conducted,NULL,NULL
36544,27768,1,None,NULL,NULL
36545,27673,1,None,NULL,NULL
36546,27630,1,None,NULL,NULL
36547,27601,1,Search of person was conducted,NULL,NULL
36548,27813,1,None,NULL,NULL
36549,27707,1,None,NULL,NULL
36550,27769,1,None,NULL,NULL
36551,27674,1,Curbside detention,NULL,NULL
36552,27631,1,None,NULL,NULL
36553,27602,1,Handcuffed or flex cuffed,NULL,NULL
36554,27814,1,Curbside detention,NULL,NULL
36555,27708,1,Curbside detention,NULL,NULL
36556,27770,1,None,NULL,NULL
36557,27675,1,None,NULL,NULL
36558,27632,1,None,NULL,NULL
36559,27602,1,Patrol car detention,NULL,NULL
36560,27815,1,Patrol car detention,NULL,NULL
36561,27708,1,Person removed from vehicle by order,NULL,NULL
36562,27771,1,None,NULL,NULL
36563,27676,1,Curbside detention,NULL,NULL
36564,27633,1,None,NULL,NULL
36565,27602,1,Search of person was conducted,NULL,NULL
36566,27816,1,None,NULL,NULL
36567,27708,1,Search of person was conducted,NULL,NULL
36568,27772,1,None,NULL,NULL
36569,27677,1,None,NULL,NULL
36570,27634,1,None,NULL,NULL
36571,27603,1,None,NULL,NULL
36572,27817,1,None,NULL,NULL
36573,27709,1,Curbside detention,NULL,NULL
36574,27773,1,None,NULL,NULL
36575,27677,2,None,NULL,NULL
36576,27724,1,Asked for consent to search person,TRUE,NULL
36577,27635,1,None,NULL,NULL
36578,27604,1,None,NULL,NULL
36579,27578,1,Search of person was conducted,NULL,NULL
36580,27818,1,None,NULL,NULL
36581,27710,1,None,NULL,NULL
36582,27774,1,None,NULL,NULL
36583,27677,3,None,NULL,NULL
36584,27636,1,None,NULL,NULL
36585,27724,1,Curbside detention,NULL,NULL
36586,27637,1,None,NULL,NULL
36587,27775,1,None,NULL,NULL
36588,27711,1,None,NULL,NULL
36589,27678,1,None,NULL,NULL
36590,27819,1,Patrol car detention,NULL,NULL
36591,27605,1,Curbside detention,NULL,NULL
36592,27776,1,None,NULL,NULL
36593,27638,1,None,NULL,NULL
36594,27712,1,None,NULL,NULL
36595,27725,1,Asked for consent to search person,TRUE,NULL
36596,27579,1,None,NULL,NULL
36597,27777,1,None,NULL,NULL
36598,27639,1,None,NULL,NULL
36599,27713,1,None,NULL,NULL
36600,27606,1,None,NULL,NULL
36601,27679,1,None,NULL,NULL
36602,27819,1,Search of person was conducted,NULL,NULL
36603,27580,1,None,NULL,NULL
36604,27725,1,Curbside detention,NULL,NULL
36605,27778,1,None,NULL,NULL
36606,27640,1,None,NULL,NULL
36607,27714,1,None,NULL,NULL
36608,27607,1,Asked for consent to search person,TRUE,NULL
36609,27680,1,Curbside detention,NULL,NULL
36610,27820,1,None,NULL,NULL
36611,27581,1,None,NULL,NULL
36612,27725,2,Asked for consent to search person,TRUE,NULL
36613,27779,1,None,NULL,NULL
36614,27641,1,None,NULL,NULL
36615,27715,1,None,NULL,NULL
36616,27607,1,Patrol car detention,NULL,NULL
36617,27681,1,None,NULL,NULL
36618,27821,1,Curbside detention,NULL,NULL
36619,27581,2,None,NULL,NULL
36620,27725,2,Curbside detention,NULL,NULL
36621,27780,1,None,NULL,NULL
36622,27642,1,None,NULL,NULL
36623,27716,1,None,NULL,NULL
36624,27607,1,Search of person was conducted,NULL,NULL
36625,27682,1,None,NULL,NULL
36626,27821,2,Curbside detention,NULL,NULL
36627,27582,1,Handcuffed or flex cuffed,NULL,NULL
36628,27726,1,None,NULL,NULL
36629,27781,1,None,NULL,NULL
36630,27643,1,Curbside detention,NULL,NULL
36631,27717,1,None,NULL,NULL
36632,27608,1,Asked for consent to search person,TRUE,NULL
36633,27683,1,None,NULL,NULL
36634,27821,3,Curbside detention,NULL,NULL
36635,27582,1,Search of person was conducted,NULL,NULL
36636,27727,1,None,NULL,NULL
36637,27782,1,None,NULL,NULL
36638,27643,1,Search of person was conducted,NULL,NULL
36639,27718,1,None,NULL,NULL
