properties.ObjectId,properties.StopID,properties.PID,properties.basisForPropertySeizure
781,6371,1,NULL
782,6372,1,NULL
783,6373,1,NULL
784,6374,1,NULL
785,6375,1,NULL
786,6376,1,NULL
787,6377,1,NULL
788,6378,1,NULL
789,6379,1,NULL
790,6380,1,NULL
791,6381,1,NULL
792,6382,1,NULL
793,6383,1,NULL
794,6384,1,Safekeeping as allowed by law/statute
795,6385,1,NULL
796,6386,1,NULL
797,6387,1,NULL
798,6388,1,NULL
799,6389,1,NULL
800,6390,1,NULL
801,6619,1,NULL
802,6801,1,NULL
803,6620,1,NULL
804,6802,1,NULL
805,6621,1,NULL
806,6845,1,NULL
807,6803,1,NULL
808,6622,1,NULL
809,6846,1,NULL
810,6804,1,NULL
811,6623,1,NULL
812,6847,1,NULL
813,6805,1,NULL
814,6624,1,NULL
815,6847,2,NULL
816,6806,1,NULL
817,6625,1,NULL
818,6848,1,NULL
819,6807,1,NULL
820,6626,1,NULL
821,6849,1,NULL
822,6808,1,Evidence
823,6627,1,NULL
824,6850,1,NULL
825,6809,1,NULL
826,6662,1,NULL
827,6628,1,NULL
828,6851,1,NULL
829,6810,1,NULL
830,6663,1,NULL
831,6628,2,NULL
832,6852,1,NULL
833,6810,2,NULL
834,6664,1,NULL
835,6628,3,NULL
836,6853,1,NULL
837,6810,3,NULL
838,6665,1,NULL
839,6629,1,NULL
840,6855,1,NULL
841,6810,4,NULL
842,6666,1,NULL
843,6629,2,NULL
844,6756,1,NULL
845,6709,1,NULL
846,6855,2,NULL
847,6856,1,NULL
848,6857,1,NULL
849,6858,1,NULL
850,6859,1,NULL
851,6860,1,NULL
852,6860,2,NULL
853,6862,1,NULL
854,6863,1,NULL
855,6864,1,NULL
856,6865,1,NULL
857,6866,1,NULL
858,6867,1,NULL
859,6868,1,NULL
860,6869,1,NULL
861,6870,1,NULL
862,6871,1,NULL
863,6872,1,NULL
864,6873,1,NULL
865,6874,1,NULL
866,6875,1,NULL
867,6876,1,NULL
868,6877,1,NULL
869,6878,1,NULL
870,6879,1,NULL
871,6880,1,NULL
872,6881,1,NULL
873,6882,1,NULL
874,6883,1,NULL
875,6884,1,NULL
876,6885,1,NULL
877,6886,1,NULL
878,6887,1,NULL
879,6889,1,NULL
880,6890,1,NULL
881,6891,1,NULL
882,6892,1,NULL
883,6893,1,NULL
884,6894,1,NULL
885,6573,1,NULL
886,6530,1,NULL
887,6757,1,NULL
888,6710,1,NULL
889,6630,1,NULL
890,6667,1,NULL
891,6758,1,NULL
892,6810,5,NULL
893,6711,1,NULL
894,6631,1,NULL
895,6667,2,NULL
896,6759,1,NULL
897,6811,1,NULL
898,6712,1,NULL
899,6631,2,NULL
900,6668,1,NULL
901,6760,1,NULL
902,6812,1,NULL
903,6712,2,NULL
904,6631,3,NULL
905,6669,1,NULL
906,6761,1,NULL
907,6814,1,NULL
908,6713,1,NULL
909,6631,4,NULL
910,6670,1,NULL
911,6762,1,NULL
912,6815,1,NULL
913,6632,1,NULL
914,6671,1,NULL
915,6763,1,NULL
916,6816,1,NULL
917,6714,1,NULL
918,6672,1,NULL
919,6764,1,NULL
920,6817,1,NULL
921,6633,1,NULL
922,6714,2,NULL
923,6673,1,NULL
924,6765,1,NULL
925,6817,2,NULL
926,6634,1,NULL
927,6715,1,NULL
928,6674,1,NULL
929,6818,1,NULL
930,6635,1,NULL
931,6716,1,NULL
932,6765,2,NULL
933,6675,1,NULL
934,6819,1,NULL
935,6636,1,NULL
936,6717,1,NULL
937,6766,1,NULL
938,6676,1,NULL
939,6819,2,NULL
940,6637,1,NULL
941,6718,1,NULL
942,6767,1,NULL
943,6677,1,NULL
944,6820,1,NULL
945,6638,1,NULL
946,6719,1,NULL
947,6768,1,NULL
948,6678,1,NULL
949,6820,2,NULL
950,6639,1,NULL
951,6720,1,NULL
952,6769,1,NULL
953,6679,1,NULL
954,6821,1,NULL
955,6640,1,NULL
956,6721,1,Evidence
957,6770,1,NULL
958,6680,1,NULL
959,6822,1,NULL
960,6641,1,NULL
961,6722,1,NULL
962,6771,1,NULL
963,6681,1,NULL
964,6823,1,NULL
965,6642,1,NULL
966,6723,1,NULL
967,6772,1,NULL
968,6682,1,NULL
969,6824,1,NULL
970,6643,1,NULL
971,6724,1,NULL
972,6773,1,NULL
973,6682,2,NULL
974,6825,1,NULL
975,6644,1,Impound of vehicle
976,6725,1,NULL
977,6774,1,NULL
978,6531,1,NULL
979,6574,1,NULL
980,6683,1,NULL
981,6826,1,NULL
982,6645,1,NULL
983,6726,1,NULL
984,6775,1,NULL
985,6532,1,NULL
986,6575,1,NULL
987,6684,1,NULL
988,6827,1,NULL
989,6647,1,NULL
990,6727,1,NULL
991,6776,1,NULL
992,6533,1,NULL
993,6576,1,NULL
994,6685,1,NULL
995,6828,1,NULL
996,6648,1,NULL
997,6728,1,NULL
998,6777,1,NULL
999,6534,1,NULL
1000,6577,1,NULL
1001,6686,1,NULL
1002,6829,1,NULL
1003,6649,1,NULL
1004,6778,1,NULL
1005,6729,1,NULL
1006,6535,1,Contraband
1007,6578,1,NULL
1008,6687,1,NULL
1009,6830,1,NULL
1010,6649,2,NULL
1011,6779,1,NULL
1012,6730,1,NULL
1013,6535,1,Evidence
1014,6579,1,NULL
1015,6688,1,NULL
1016,6831,1,NULL
1017,6649,3,NULL
1018,6780,1,NULL
1019,6781,1,NULL
1020,6782,1,NULL
1021,6783,1,NULL
1022,6784,1,NULL
1023,6785,1,NULL
1024,6786,1,NULL
1025,6787,1,NULL
1026,6788,1,NULL
1027,6789,1,NULL
1028,6790,1,NULL
1029,6791,1,NULL
1030,6791,2,NULL
1031,6792,1,NULL
1032,6792,2,NULL
1033,6793,1,NULL
1034,6794,1,NULL
1035,6795,1,NULL
1036,6796,1,NULL
1037,6796,2,NULL
1038,6797,1,NULL
1039,6798,1,NULL
1040,6799,1,NULL
1041,6800,1,NULL
1042,6800,2,NULL
1043,6580,1,NULL
1044,6536,1,Contraband
1045,6536,1,Evidence
1046,6537,1,NULL
1047,6832,1,NULL
1048,6538,1,NULL
1049,6650,1,NULL
1050,6731,1,Impound of vehicle
1051,6689,1,NULL
1052,6581,1,NULL
1053,6833,1,NULL
1054,6538,2,NULL
1055,6651,1,NULL
1056,6732,1,NULL
1057,6690,1,NULL
1058,6582,1,NULL
1059,6834,1,NULL
1060,6539,1,NULL
1061,6652,1,NULL
1062,6733,1,NULL
1063,6691,1,NULL
1064,6583,1,NULL
1065,6835,1,NULL
1066,6540,1,NULL
1067,6653,1,NULL
1068,6733,2,NULL
1069,6692,1,NULL
1070,6584,1,NULL
1071,6836,1,NULL
1072,6541,1,NULL
1073,6654,1,NULL
1074,6734,1,NULL
1075,6693,1,NULL
1076,6585,1,NULL
1077,6837,1,NULL
1078,6542,1,NULL
1079,6655,1,NULL
1080,6735,1,NULL
1081,6694,1,NULL
1082,6586,1,NULL
1083,6838,1,NULL
1084,6543,1,NULL
1085,6655,2,NULL
1086,6736,1,NULL
1087,6695,1,NULL
1088,6587,1,NULL
1089,6839,1,NULL
1090,6544,1,NULL
1091,6656,1,NULL
1092,6737,1,NULL
1093,6696,1,NULL
1094,6588,1,NULL
1095,6840,1,NULL
1096,6545,1,NULL
1097,6657,1,NULL
1098,6738,1,NULL
1099,6696,2,NULL
1100,6589,1,NULL
1101,6841,1,NULL
1102,6545,2,NULL
1103,6658,1,NULL
1104,6739,1,NULL
1105,6697,1,NULL
1106,6590,1,NULL
1107,6842,1,NULL
1108,6546,1,NULL
1109,6660,1,NULL
1110,6740,1,NULL
1111,6698,1,NULL
1112,6591,1,NULL
1113,6843,1,NULL
1114,6547,1,NULL
1115,6661,1,NULL
1116,6741,1,NULL
1117,6699,1,NULL
1118,6592,1,NULL
1119,6844,1,NULL
1120,6548,1,NULL
1121,6742,1,NULL
1122,6700,1,NULL
1123,6593,1,NULL
1124,6549,1,NULL
1125,6743,1,NULL
1126,6701,1,NULL
1127,6594,1,NULL
1128,6550,1,NULL
1129,6744,1,NULL
1130,6702,1,NULL
1131,6594,2,NULL
1132,6551,1,NULL
1133,6747,1,NULL
1134,6703,1,Contraband
1135,6594,3,NULL
1136,6552,1,NULL
1137,6748,1,NULL
1138,6704,1,NULL
1139,6595,1,NULL
1140,6553,1,NULL
1141,6750,1,NULL
1142,6705,1,NULL
1143,6596,1,NULL
1144,6554,1,NULL
1145,6750,2,NULL
1146,6706,1,NULL
1147,6597,1,NULL
1148,6554,2,NULL
1149,6750,3,NULL
1150,6707,1,NULL
1151,6598,1,NULL
1152,6555,1,NULL
1153,6751,1,NULL
1154,6708,1,NULL
1155,6599,1,NULL
1156,6556,1,NULL
1157,6751,2,NULL
1158,6600,1,NULL
1159,6557,1,NULL
1160,6752,1,NULL
1161,6601,1,NULL
1162,6558,1,NULL
1163,6753,1,NULL
1164,6602,1,NULL
1165,6559,1,NULL
1166,6754,1,NULL
1167,6603,1,NULL
1168,6560,1,NULL
1169,6755,1,NULL
1170,6604,1,NULL
1171,6561,1,NULL
