properties.ObjectId,properties.StopID,properties.PID,properties.contrabandOrEvidenceDiscovered
1293,7054,1,Alcohol
1294,7087,1,None
1295,7014,1,None
1296,7129,2,None
1297,6974,1,None
1298,7055,1,None
1299,7088,1,None
1300,7015,1,None
1301,7129,3,None
1302,6975,1,None
1303,7056,1,None
1304,7089,1,None
1305,7016,1,None
1306,7130,1,None
1307,6976,1,None
1308,7057,1,None
1309,7090,1,None
1310,7017,1,None
1311,7131,1,None
1312,6977,1,None
1313,7058,1,None
1314,7091,1,None
1315,7018,1,None
1316,7132,1,None
1317,6978,1,None
1318,7058,2,Ammunition
1319,7091,2,None
1320,7019,1,None
1321,7133,1,None
1322,6979,1,None
1323,7058,3,None
1324,7092,1,Weapon(s) other than a firearm
1325,7020,1,None
1326,7134,1,None
1327,6980,1,None
1328,7058,4,None
1329,7093,1,None
1330,7021,1,None
1331,7135,1,None
1332,6981,1,None
1333,7059,1,None
1334,7094,1,None
1335,7022,1,None
1336,7136,1,None
1337,7137,1,None
1338,7138,1,None
1339,7139,1,None
1340,7139,2,None
1341,7140,1,None
1342,7141,1,None
1343,7142,1,None
1344,7143,1,None
1345,7144,1,None
1346,7145,1,None
1347,7146,1,None
1348,7147,1,Drugs/narcotics
1349,7148,1,None
1350,7149,1,None
1351,7150,1,Ammunition
1352,7150,1,Firearm(s)
1353,7151,1,None
1354,7152,1,Ammunition
1355,7152,1,Firearm(s)
1356,7152,1,Other Contraband or evidence
1357,7152,1,Suspected Stolen property
1358,7153,1,None
1359,7154,1,Weapon(s) other than a firearm
1360,7155,1,None
1361,7156,1,None
1362,7157,1,None
1363,7158,1,None
1364,7158,2,None
1365,7159,1,None
1366,7160,1,None
1367,7160,2,None
1368,7060,1,None
1369,6982,1,None
1370,7023,1,None
1371,7061,1,None
1372,6983,1,None
1373,7024,1,None
1374,7062,1,None
1375,6984,1,None
1376,7095,1,None
1377,7025,1,Alcohol
1378,7063,1,None
1379,6985,1,None
1380,7096,1,None
1381,7026,1,None
1382,7064,1,None
1383,6986,1,None
1384,7097,1,None
1385,7027,1,None
1386,7065,1,None
1387,6987,1,None
1388,7098,1,None
1389,7028,1,None
1390,7066,1,None
1391,6988,1,None
1392,7099,1,None
1393,7029,1,None
1394,7067,1,None
1395,6989,1,None
1396,7100,1,None
1397,7030,1,None
1398,7068,1,None
1399,6990,1,None
1400,7101,1,None
1401,7031,1,None
1402,7069,1,None
1403,6991,1,None
1404,7102,1,None
1405,7032,1,None
1406,7069,2,None
1407,6992,1,None
1408,7103,1,Other Contraband or evidence
1409,7032,2,None
1410,7069,3,None
1411,7103,2,Other Contraband or evidence
1412,7033,1,None
1413,7069,4,None
1414,7103,3,Other Contraband or evidence
1415,7034,1,None
1416,7070,1,None
